Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.02204371988773346,2.163846731185913,78.53820037841797,-0.23094176707461783,-0.7392924144048806,-89.46007418545514,1.8162795,8.131644,10.910384,7.554982,-8.179197,-7.8254805,2.6629195,-8.710729,-14.395809,7.8351574,-7.674161,8.118387,-0.4361994,-0.64520776,6.453178,-0.24454464,22.180855,-41.140602,50.247,9.03934,10.06514,-0.82566804,-6.1904726,-18.341883,48.36507,54.513016,-5.9560847,9.060238,-7.0339723
1,0.01828307844698429,2.1497180461883545,78.53825378417969,-0.22527738896859995,-0.7192621379176181,-89.4506214952677,1.8166746,8.123892,10.904219,7.529073,-8.170511,-7.8362927,2.66943,-8.712845,-14.404963,7.809485,-7.6774454,8.134448,-0.4594405,-0.6881395,6.3836465,-0.097288914,22.233868,-40.894203,49.909283,9.429466,10.133222,-0.82350886,-6.080854,-18.362795,48.114876,54.039318,-6.406542,9.228026,-6.9956145
2,0.016435710713267326,2.1330974102020264,78.53788757324219,-0.22060831470244965,-0.7000588923413781,-89.44070028847298,1.8169861,8.116291,10.897424,7.504879,-8.162521,-7.8477964,2.6768637,-8.7150545,-14.414521,7.7847495,-7.681203,8.150096,-0.48413125,-0.7346348,6.3240905,0.06385032,22.315254,-40.64461,49.54621,9.818026,10.207842,-0.8279559,-5.9651375,-18.399593,47.863926,53.544033,-6.8695793,9.407555,-6.9521747
3,0.013326085172593594,2.1171464920043945,78.53770446777344,-0.21568853655130246,-0.679043112041034,-89.4316760075435,1.8159457,8.108454,10.891633,7.4801087,-8.154577,-7.8579664,2.6828368,-8.717349,-14.423527,7.7577524,-7.6840672,8.166491,-0.50687754,-0.7818897,6.2622414,0.23561403,22.406134,-40.387005,49.14904,10.206512,10.2717705,-0.8286241,-5.8424716,-18.44324,47.607754,53.02963,-7.307612,9.564417,-6.9109936
4,0.011139019392430782,2.1009628772735596,78.53724670410156,-0.20997430145397003,-0.6531572669240314,-89.42508327877174,1.8111147,8.100298,10.888569,7.452373,-8.144602,-7.8649983,2.684074,-8.720075,-14.430828,7.7280955,-7.6865554,8.18481,-0.52575606,-0.8312447,6.1942797,0.43209302,22.517082,-40.107567,48.672092,10.596685,10.308437,-0.81930417,-5.705875,-18.498426,47.336784,52.476234,-7.6862326,9.66476,-6.8779917
5,0.00844123400747776,2.0854289531707764,78.5361557006836,-0.20224614632052842,-0.618814319159596,-89.42101601005982,1.7971748,8.091111,10.88833,7.4251137,-8.134289,-7.8670816,2.6771252,-8.724374,-14.437127,7.693464,-7.687228,8.206138,-0.53954786,-0.8828862,6.1131167,0.6554007,22.646776,-39.80842,48.11425,11.024773,10.307786,-0.7884672,-5.5531836,-18.563618,47.04941,51.879433,-7.9964137,9.689591,-6.8521338
6,0.0067274244502186775,2.0685107707977295,78.53511810302734,-0.19384384880551114,-0.5785109768367631,-89.41879311925774,1.7774973,8.081168,10.890013,7.3967547,-8.1229725,-7.8655825,2.665263,-8.729307,-14.442648,7.654537,-7.6867843,8.229489,-0.5501234,-0.9366732,6.024485,0.8997544,22.79609,-39.49508,47.49074,11.474957,10.28082,-0.74301064,-5.388454,-18.638735,46.750843,51.246803,-8.255408,9.660678,-6.8317943
7,0.004136860836297274,2.0507609844207764,78.53410339355469,-0.1849964214354523,-0.5385704625549109,-89.41849760191802,1.7581736,8.072,10.893849,7.3694534,-8.113004,-7.8634973,2.6536386,-8.733691,-14.446078,7.6141,-7.685904,8.253406,-0.5590379,-0.99161756,5.93843,1.1684439,22.96343,-39.15555,46.79314,11.881294,10.242798,-0.7022794,-5.2107577,-18.723019,46.437744,50.583557,-8.474323,9.604686,-6.822872
8,0.0003168564580846578,2.037043809890747,78.5337142944336,-0.17903396965981605,-0.5050975784168407,-89.42035126634458,1.7481198,8.06467,10.900241,7.3402348,-8.104425,-7.8636622,2.64755,-8.735657,-14.445834,7.5756288,-7.686468,8.276202,-0.5686015,-1.0460974,5.86531,1.454766,23.146585,-38.78583,46.021236,12.167677,10.208218,-0.68570757,-5.0226517,-18.815042,46.110794,49.896877,-8.659724,9.54829,-6.8311763
9,-0.0016492248978465796,2.021174430847168,78.53387451171875,-0.1761734843055957,-0.47976253800845337,-89.4219392431337,1.7461902,8.061721,10.906394,7.31417,-8.100519,-7.8683825,2.6511974,-8.733187,-14.444469,7.536884,-7.689756,8.297702,-0.5825838,-1.0981095,5.8048606,1.7622588,23.344841,-38.37255,45.160976,12.29586,10.189944,-0.7118497,-4.8252125,-18.914848,45.768246,49.182796,-8.804376,9.495436,-6.8604126
