Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-2.4331417083740234,0.08282480388879776,78.74195098876953,-0.1507073519664039,-2.6406643155817657,-1.3407008680579737,4.712764,8.317955,16.190086,8.971362,-9.15259,-5.9755464,2.8459606,-6.4934177,-11.075859,10.219693,-8.937096,4.005846,-3.911556,0.03420194,9.968653,1.6013186,20.376608,-32.554535,49.810814,21.254818,-1.9640304,-1.4461064,-1.0505457,-19.164915,35.837936,51.231644,-10.179931,5.400924,-2.3741143
1,-2.4464800357818604,0.08114843815565109,78.75188446044922,-0.14576771115201123,-2.5992847012534765,-1.2898380636428164,4.6173654,8.307013,16.125523,8.99122,-9.113297,-5.943897,2.7923875,-6.511945,-11.14636,10.222672,-8.896762,4.0041723,-3.9302506,0.01629934,9.982051,1.5902383,20.421152,-32.49665,49.74889,21.157135,-1.964434,-1.3686427,-1.0506492,-19.19841,35.84004,51.174255,-10.011269,5.352967,-2.4822407
2,-2.467069149017334,0.07769838720560074,78.76228332519531,-0.1392777120901469,-2.5594862754780534,-1.242524507517453,4.526137,8.294984,16.06431,9.010932,-9.075368,-5.911644,2.7407308,-6.5306587,-11.213143,10.2261505,-8.858858,4.0033364,-3.937743,-0.00058188144,9.980122,1.5470275,20.434547,-32.46212,49.74678,21.051281,-1.9671514,-1.2882133,-1.063297,-19.208948,35.84211,51.161427,-9.85353,5.302883,-2.594264
3,-2.4942522048950195,0.07352211326360703,78.77330780029297,-0.13313159019834556,-2.5162987252714655,-1.1888394523152481,4.4282646,8.28179,15.997385,9.02711,-9.032581,-5.8808713,2.6867645,-6.5495634,-11.287084,10.224748,-8.813763,4.0028157,-3.9518976,-0.016864568,9.977759,1.5020751,20.446514,-32.42054,49.742893,20.958403,-1.9671757,-1.1988363,-1.0770152,-19.218868,35.842445,51.146034,-9.677081,5.251289,-2.7057445
4,-2.5277397632598877,0.06731589138507843,78.78336334228516,-0.12926896401117927,-2.464180990463379,-1.1185081999051696,4.3097806,8.267836,15.914965,9.043494,-8.983065,-5.85332,2.6206841,-6.5697603,-11.379038,10.225193,-8.758428,4.0022364,-4.004097,-0.033341397,9.994835,1.4815167,20.475374,-32.31571,49.687244,20.914494,-1.9658506,-1.0995792,-1.1032286,-19.243267,35.849113,51.098515,-9.453668,5.1952267,-2.8093765
5,-2.5664515495300293,0.0626605898141861,78.7908706665039,-0.13006337629504888,-2.4004081857004897,-1.0318395821576454,4.1699033,8.255648,15.817131,9.054707,-8.925154,-5.829443,2.5427358,-6.5875,-11.491649,10.219207,-8.684121,3.9981918,-4.0409536,-0.043931436,9.993981,1.4134295,20.48935,-32.249794,49.68242,20.898108,-1.9572066,-0.9561493,-1.1150773,-19.254875,35.820805,51.06174,-9.158335,5.124357,-2.9198358
6,-2.6062231063842773,0.06026775389909744,78.79141235351562,-0.1488846858710429,-2.3270594254616235,-0.9294031684157606,3.9601297,8.275227,15.694845,9.175605,-8.920088,-5.809939,2.4605231,-6.5873995,-11.625724,10.1977215,-8.5904,3.9913583,-4.091918,-0.036998533,10.001204,1.3469648,20.5085,-32.161274,49.657673,20.923483,-1.9447347,-0.7931657,-1.1225816,-19.271778,35.77007,51.003242,-8.8218775,5.0449095,-3.0272357
7,-2.65132999420166,0.05997923016548157,78.77670288085938,-0.16029631159092855,-2.231693417756268,-0.8144408005578518,3.5301037,8.336766,15.534834,9.702632,-9.119394,-5.7923107,2.1279192,-6.6469846,-11.743119,10.65787,-8.743132,3.9936166,-4.140092,-0.036228713,9.988333,1.2585363,20.525938,-32.079086,49.64265,20.953672,-1.926673,-0.6265146,-1.1268524,-19.287397,35.706398,50.940052,-8.477037,4.9691963,-3.123687
8,-2.6991355419158936,0.0579802542924881,78.76087188720703,-0.18070664689559449,-2.135018474093292,-0.6820669056768726,3.0512838,8.413293,15.351998,10.308734,-9.348367,-5.7781944,1.802555,-6.6986756,-11.87444,11.099423,-8.888432,4.006752,-4.190356,-0.025471825,9.972828,1.1393133,20.534575,-32.010918,49.646313,20.960382,-1.9001974,-0.4732178,-1.1419257,-19.294645,35.646904,50.889626,-8.159805,4.9108043,-3.2017813
9,-2.7573835849761963,0.05379417538642883,78.74444580078125,-0.2056621387741988,-2.0375547648132244,-0.5316637559275866,2.5250652,8.499935,15.147758,10.994609,-9.61008,-5.7719893,1.4747527,-6.7491174,-12.0164995,11.545837,-9.042012,4.0401917,-4.242732,-0.011639953,9.984827,1.0034536,20.55177,-31.906141,49.622215,20.991753,-1.8641323,-0.35647523,-1.1575336,-19.30876,35.551563,50.80647,-7.902283,4.8741245,-3.234287
10,-2.819761037826538,0.05520355701446533,78.72718048095703,-0.2351174921428628,-1.939006392306835,-0.36501486808132194,1.9630159,8.593242,14.924976,11.734571,-9.894079,-5.772122,1.1476356,-6.797496,-12.170458,11.988635,-9.19816,4.088069,-4.2974377,0.0064043743,9.994409,0.84578556,20.566994,-31.812206,49.607212,21.01801,-1.8145555,-0.24767964,-1.1779336,-19.319914,35.46158,50.72719,-7.650945,4.8538346,-3.2474234
11,-2.890906810760498,0.0527668334543705,78.70787048339844,-0.2760352582162,-1.8374569755415173,-0.18367941465462423,1.3419116,8.704898,14.677195,12.570013,-10.212612,-5.769368,0.80167365,-6.8409123,-12.337066,12.462811,-9.366375,4.1341753,-4.3591123,0.03741066,10.008293,0.6674996,20.578602,-31.721327,49.594776,21.010523,-1.7680757,-0.1465489,-1.2101914,-19.327442,35.37411,50.65065,-7.4249315,4.842597,-3.2552443
12,-2.9698843955993652,0.05334209278225899,78.68412017822266,-0.33599280438105933,-1.732547344476783,0.01103348758377416,0.6451835,8.845423,14.398122,13.530021,-10.573465,-5.7546577,0.42787984,-6.8740563,-12.518361,12.983972,-9.548126,4.1621304,-4.43057,0.08800907,10.056135,0.47832,20.606287,-31.596521,49.544476,20.956738,-1.7467532,-0.06519228,-1.2542694,-19.346828,35.25142,50.546688,-7.2655606,4.8303704,-3.259312
