Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.28886333107948303,1.0378397703170776,77.89163208007812,0.22226661080683363,-4.56163852380439,-89.99469044605652,10.376213,6.9944696,13.037977,7.0459456,-12.520322,-7.6348124,9.2334585,-4.710166,0.3190952,8.961553,-12.83425,6.727685,-3.4354389,0.6983306,13.52534,7.650327,14.696206,-34.567936,66.703674,-8.349294,-0.4962021,3.5846853,5.616722,-12.817249,26.796455,60.155323,-4.9041147,-1.791178,-10.115613
1,-0.2879880666732788,1.026979684829712,77.89431762695312,0.2075737861126973,-4.460730446504422,-89.9863198210378,10.268668,7.005957,13.016579,7.0470543,-12.537935,-7.6209874,9.139047,-4.6965294,0.30733028,8.943568,-12.823886,6.7124157,-3.431508,0.722697,13.498768,7.663248,14.705494,-34.554943,66.6573,-8.296894,-0.48517537,3.575264,5.642652,-12.820633,26.785994,60.189808,-4.8657727,-1.7799789,-10.073839
2,-0.28841543197631836,1.009848952293396,77.89712524414062,0.19101390101399754,-4.362309135470362,-89.97900099111786,10.164552,7.0183835,12.995435,7.048552,-12.558667,-7.608284,9.04707,-4.68181,0.29699266,8.927136,-12.815846,6.6955614,-3.4292114,0.74706745,13.471007,7.6706657,14.713482,-34.5392,66.62368,-8.236484,-0.47471413,3.563544,5.6674905,-12.825005,26.772112,60.22645,-4.827616,-1.7678444,-10.027561
3,-0.28077933192253113,0.9960558414459229,77.89823150634766,0.17501683695552978,-4.2588696878985175,-89.96921122951113,10.053413,7.0305057,12.973114,7.0496864,-12.573532,-7.592938,8.951157,-4.667965,0.2833406,8.906159,-12.80281,6.68195,-3.4236963,0.7723854,13.44379,7.671452,14.718999,-34.52359,66.592766,-8.187032,-0.4687573,3.5531952,5.6895456,-12.82965,26.761103,60.267597,-4.7915645,-1.7597036,-9.987525
4,-0.274814248085022,0.9811444878578186,77.90081024169922,0.1637558355974983,-4.143103881708995,-89.95452119393477,9.924486,7.0343213,12.949239,7.05047,-12.574019,-7.5710177,8.840228,-4.6630316,0.26340452,8.88487,-12.783196,6.6761622,-3.4105048,0.7925704,13.420426,7.661808,14.722354,-34.505245,66.55746,-8.1623125,-0.47256172,3.5464573,5.7068663,-12.834351,26.756767,60.31371,-4.764757,-1.7607535,-9.962342
5,-0.2672966718673706,0.9704043865203857,77.90168762207031,0.15856922316578798,-4.010220893030924,-89.93134638158273,9.712356,7.043677,12.914863,7.179008,-12.624054,-7.53791,8.713282,-4.667594,0.2325139,8.855376,-12.75201,6.6839557,-3.3916736,0.806562,13.398719,7.6403704,14.724885,-34.479744,66.515915,-8.176442,-0.4940854,3.5440583,5.7167053,-12.84126,26.769608,60.369793,-4.7490973,-1.777636,-9.959974
6,-0.2573854923248291,0.9673277139663696,77.90205383300781,0.15799932757148186,-3.8659125889790413,-89.90311201877896,9.410799,7.0619426,12.870249,7.4659967,-12.745355,-7.4955654,8.574133,-4.6808014,0.19503817,8.822748,-12.713902,6.701787,-3.3886468,0.8132531,13.37949,7.626524,14.726639,-34.426193,66.4576,-8.213995,-0.5283425,3.5442393,5.714606,-12.860081,26.824667,60.430855,-4.7296357,-1.8047084,-9.974503
7,-0.24843113124370575,0.9636697173118591,77.90306091308594,0.1566831288888464,-3.7135290562116943,-89.87231906705058,9.087935,7.082479,12.822499,7.7735863,-12.868763,-7.455455,8.426473,-4.6939073,0.15373316,8.786471,-12.669182,6.7195187,-3.3691368,0.82363594,13.361472,7.594645,14.724678,-34.3871,66.41032,-8.260972,-0.5619764,3.5470464,5.711427,-12.873056,26.86161,60.4982,-4.7170644,-1.8328929,-9.993272
8,-0.23762492835521698,0.9585154056549072,77.90348815917969,0.14614759178688239,-3.5556995277206718,-89.84012737322924,8.738043,7.117296,12.768953,8.120968,-13.007651,-7.427559,8.269229,-4.6974726,0.11074907,8.7549305,-12.623256,6.7268853,-3.3618877,0.84487987,13.351462,7.564839,14.718638,-34.32608,66.36031,-8.278955,-0.58200693,3.5476298,5.6965065,-12.888209,26.891619,60.563156,-4.69772,-1.8500894,-10.0014715
9,-0.2276925891637802,0.9530843496322632,77.90186309814453,0.13781822564460022,-3.392019356259743,-89.81156268540549,8.365078,7.156971,12.715946,8.503769,-13.160552,-7.4164205,7.9944944,-4.7010937,0.07883192,8.955384,-12.697857,6.721789,-3.3483272,0.8705468,13.341434,7.5369487,14.712237,-34.263336,66.31082,-8.259792,-0.5847629,3.5496655,5.6814847,-12.897647,26.88847,60.62334,-4.6796303,-1.8453181,-9.9942255
