Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.09616618603467941,2.7136473655700684,78.0311279296875,-0.0555590596806973,-7.228024869917843,-89.0709749042059,6.721366,1.2549512,3.9108117,10.017176,-10.584471,-1.936928,8.706101,-3.371033,-8.799822,10.320808,-13.635238,1.6108834,-0.41718164,2.8487253,12.6104145,-7.190706,11.894562,-56.53596,65.499855,-16.26417,2.3237326,4.052882,-9.295422,-10.462718,49.962894,69.252525,3.3961806,6.912472,-8.248931
1,-0.09675609320402145,2.720078229904175,78.03294372558594,-0.06317088484629056,-7.164266394313717,-89.1055594865402,6.658491,1.2726482,3.938298,9.99422,-10.569065,-1.9566722,8.625935,-3.3466547,-8.747029,10.307975,-13.635952,1.5933117,-0.3949468,2.8598967,12.581394,-7.2058883,11.893794,-56.49272,65.4389,-16.202942,2.4514387,4.0218225,-9.319053,-10.452599,49.96549,69.26848,3.411993,6.8966036,-8.307406
2,-0.09751765429973602,2.7290186882019043,78.03439331054688,-0.072189242458365,-7.102810746025736,-89.1369000107157,6.5969725,1.2912138,3.9627337,9.973459,-10.5538645,-1.9765973,8.551027,-3.3218498,-8.696625,10.292246,-13.635186,1.5773805,-0.37492326,2.87324,12.555063,-7.2205863,11.89222,-56.446735,65.38027,-16.14864,2.576995,3.9862258,-9.342515,-10.447059,49.97317,69.284805,3.4327972,6.8763623,-8.359632
3,-0.09834590554237366,2.738708734512329,78.0381088256836,-0.08008680124109042,-7.037130567435529,-89.17386208992768,6.532961,1.3108386,3.9922223,9.949229,-10.538602,-1.9962751,8.46872,-3.2957733,-8.641899,10.278504,-13.635778,1.5571729,-0.38392386,2.8863537,12.531902,-7.2276444,11.886646,-56.349365,65.31485,-16.053045,2.706752,3.9545922,-9.38173,-10.435722,50.00107,69.299644,3.4453022,6.866464,-8.420646
4,-0.09835534542798996,2.744267463684082,78.04322052001953,-0.08755746231946543,-6.960600906556089,-89.22403531716186,6.4596367,1.33195,4.033888,9.921661,-10.525457,-2.01526,8.368108,-3.2680721,-8.576828,10.2685375,-13.639287,1.52676,-0.3713709,2.8992782,12.496497,-7.239581,11.881414,-56.28944,65.237274,-15.927732,2.8453906,3.9467793,-9.40072,-10.430088,49.99851,69.27687,3.4400554,6.8796906,-8.509752
5,-0.09672166407108307,2.755227565765381,78.04859924316406,-0.09480822286490614,-6.869708493950086,-89.2883825307637,6.372852,1.3561363,4.088137,9.8918915,-10.516167,-2.030686,8.238355,-3.2380643,-8.500559,10.27548,-13.650429,1.4778649,-0.3592542,2.9171677,12.458331,-7.2547326,11.874968,-56.225925,65.139404,-15.722818,2.996201,3.9668956,-9.42868,-10.426645,49.984882,69.23979,3.421471,6.9162083,-8.623759
6,-0.0957108661532402,2.765825033187866,78.05462646484375,-0.1054040280619646,-6.768883006766818,-89.36306698657282,6.277019,1.3851765,4.1514525,9.860935,-10.510019,-2.0440784,8.093073,-3.203477,-8.416024,10.284447,-13.662006,1.4151189,-0.33986986,2.9386983,12.412778,-7.27327,11.868645,-56.180233,65.03101,-15.478135,3.1552188,4.010398,-9.451229,-10.425602,49.964146,69.18478,3.40103,6.9707937,-8.761148
7,-0.09693305939435959,2.7764434814453125,78.06035614013672,-0.11205991704269526,-6.662140688429719,-89.44825489928775,6.178175,1.4116714,4.225209,9.823656,-10.502315,-2.0601966,7.935188,-3.1722162,-8.322101,10.300139,-13.68096,1.3528981,-0.3246222,2.955931,12.366561,-7.289321,11.859326,-56.107487,64.91005,-15.200223,3.3226056,4.054387,-9.46619,-10.426339,49.90769,69.089386,3.3303754,7.046385,-8.913687
8,-0.102136991918087,2.792553663253784,78.06307220458984,-0.10483431553651838,-6.554332897305495,-89.54448273978697,6.089421,1.4271998,4.311542,9.764645,-10.483855,-2.08395,7.774621,-3.1515543,-8.21788,10.314304,-13.70719,1.3058351,-0.3114426,2.9591737,12.320647,-7.299736,11.843873,-55.991695,64.78236,-14.919537,3.4931288,4.080527,-9.457215,-10.43084,49.783836,68.92254,3.173307,7.1466827,-9.079157
9,-0.10968934744596481,2.8044381141662598,78.05697631835938,-0.041570223336803644,-6.433473308356023,-89.67409175227684,6.026965,1.3850298,4.4371247,9.624749,-10.423576,-2.1112158,7.3259087,-3.2231805,-8.054979,10.896995,-14.0372505,1.2825158,-0.2767886,2.9083912,12.258079,-7.305009,11.821801,-55.84153,64.64863,-14.639205,3.6693547,4.0789,-9.413549,-10.4422035,49.55779,68.676056,2.890011,7.271067,-9.257774
10,-0.11886759102344513,2.823166847229004,78.04610443115234,0.05099855980821361,-6.307435890798788,-89.82380705125337,5.9815125,1.3127431,4.585935,9.439983,-10.341324,-2.1430366,6.748947,-3.3380506,-7.8579297,11.730428,-14.503144,1.2713436,-0.23607235,2.8279192,12.186422,-7.2990413,11.80233,-55.672005,64.4966,-14.355633,3.8522012,4.0641537,-9.345613,-10.4567995,49.266457,68.369514,2.5208697,7.4185214,-9.452697
