Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.00311411265283823,2.2786176204681396,78.98731231689453,0.9071553362235514,-0.9300384136379715,-89.58921098199882,0.9262042,3.7459812,5.2411394,7.9695,-7.279202,-4.6410985,3.3272955,-8.244483,-17.494524,7.108132,-8.7609625,7.244299,-0.053468697,-1.3231455,10.403099,1.1352739,20.305971,-29.738232,50.71357,10.670416,5.4217744,3.1085858,-3.001873,-19.230772,37.246555,48.986897,-22.43587,-3.0489197,0.14291498
1,0.0155553687363863,2.296558141708374,78.99139404296875,0.9436334107653042,-0.9268955519268882,-89.56168820464902,0.89246106,3.6840403,5.2327423,7.9664087,-7.229082,-4.6012697,3.2849393,-8.31259,-17.5051,7.1532044,-8.742774,7.25307,-0.11461976,-1.4096655,10.474137,1.1250713,20.324312,-29.614674,50.504448,11.275553,5.5226073,3.128239,-2.9830966,-19.257162,37.27192,48.71222,-22.727163,-3.0600498,0.090865545
2,0.028254158794879913,2.3213534355163574,78.9968490600586,0.9798894753447455,-0.9239821096733889,-89.53511976269299,0.85992676,3.6232824,5.2251577,7.963092,-7.1795735,-4.561715,3.2468705,-8.378565,-17.515963,7.1919036,-8.7244215,7.2601824,-0.1550917,-1.4942176,10.531005,1.090377,20.330822,-29.527405,50.34025,11.871739,5.6295676,3.1524446,-2.961118,-19.267696,37.286648,48.46144,-23.026798,-3.0703661,0.035055544
3,0.04546371474862099,2.3534963130950928,79.0015640258789,1.0155700342006342,-0.9208539650773686,-89.50655278712752,0.82437706,3.561391,5.215654,7.9601016,-7.1282964,-4.521854,3.2034373,-8.446667,-17.527285,7.237202,-8.703563,7.2702637,-0.27339265,-1.581275,10.616773,1.1362212,20.359976,-29.315153,50.06587,12.501456,5.722548,3.1599104,-2.9759903,-19.311764,37.369133,48.17821,-23.29815,-3.0801735,-0.015496831
4,0.06370773166418076,2.392960786819458,79.00495147705078,1.0531805872964917,-0.9162757288483766,-89.47343578953637,0.78327453,3.4940982,5.2024307,7.9514704,-7.0692067,-4.481179,3.1200414,-8.530679,-17.53491,7.3568645,-8.707721,7.2880597,-0.36555126,-1.6762486,10.70072,1.1244628,20.381199,-29.171309,49.79406,13.088082,5.7931247,3.186409,-2.9764194,-19.339075,37.417313,47.90312,-23.535467,-3.0925713,-0.071259715
5,0.08202808350324631,2.4332079887390137,79.00706481933594,1.1006021637302887,-0.9100152909754777,-89.43081823183215,0.74011225,3.4093425,5.182685,7.925086,-6.9953384,-4.4389,2.870831,-8.683242,-17.520609,7.8286405,-8.881192,7.3171496,-0.48821938,-1.792204,10.796637,1.1220467,20.411316,-28.99798,49.447727,13.704882,5.8343863,3.2255087,-2.9934983,-19.369429,37.49244,47.619198,-23.728184,-3.1026347,-0.13095032
6,0.10557568073272705,2.4819211959838867,79.00975036621094,1.149070946272393,-0.9045779203145283,-89.3792563314477,0.69093025,3.3201854,5.1544437,7.899005,-6.9176297,-4.39618,2.6266491,-8.837909,-17.511803,8.286169,-9.036096,7.352394,-0.6264026,-1.9167386,10.901028,1.1171124,20.446705,-28.816557,49.055794,14.33721,5.855421,3.275337,-3.0198,-19.397243,37.577732,47.333282,-23.890337,-3.1115959,-0.19370094
7,0.1253809630870819,2.531559467315674,79.0128173828125,1.2026773165364115,-0.8957710422856939,-89.33335498753684,0.63972384,3.2259052,5.1329913,7.8630652,-6.830681,-4.35272,2.3590066,-9.001361,-17.49426,8.772709,-9.193105,7.39286,-0.76803726,-2.048698,11.012678,1.0925479,20.483078,-28.650501,48.641327,14.888414,5.859572,3.3262334,-3.0479426,-19.419977,37.65293,47.049625,-24.016972,-3.1274278,-0.2570267
8,0.1511063128709793,2.5903685092926025,79.01544189453125,1.257794634112145,-0.8797517328678919,-89.30700258505405,0.5610912,3.130686,5.1308784,7.868607,-6.7611585,-4.3085146,2.0665793,-9.169757,-17.459206,9.27102,-9.345493,7.437069,-0.9355901,-2.1921191,11.144566,1.0938205,20.55605,-28.469292,48.149117,15.2687645,5.8487883,3.357106,-3.083446,-19.456417,37.737278,46.7452,-24.087574,-3.1567762,-0.31713414
9,0.1802131086587906,2.6513102054595947,79.0152816772461,1.3120023782752992,-0.8554940577606459,-89.29756976272023,0.43717876,3.0419712,5.1437573,7.951356,-6.7277384,-4.2671466,1.7365266,-9.341573,-17.410036,9.810391,-9.50854,7.484842,-1.0793419,-2.3319817,11.2774935,1.0370882,20.617197,-28.360891,47.683155,15.39147,5.8208427,3.385848,-3.0976393,-19.48115,37.764336,46.440178,-24.129322,-3.2015502,-0.36965996
