Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.14457237720489502,2.052830457687378,78.57181549072266,-0.47152412614021794,-1.4183880728061924,-93.15144755447811,2.8685012,8.0359955,19.74618,7.434657,-8.410487,-5.9712214,0.37312633,-5.2105317,-8.683139,8.803389,-7.089723,4.742895,-2.9416986,0.060385585,8.239448,-1.0134554,20.581615,-35.44621,51.696854,20.085955,-2.4814403,-0.46487796,-2.7198117,-18.25591,38.33521,52.630573,-11.659839,4.692576,-2.6135907
1,0.14775750041007996,2.07940936088562,78.57532501220703,-0.492584756302211,-1.3974796248975427,-93.19924348111225,2.8150918,8.070438,19.78513,7.453437,-8.391393,-6.0013,0.3077918,-5.1767135,-8.646032,8.785818,-7.014106,4.737535,-2.8943965,0.074789815,8.331402,-1.0797632,20.606617,-35.4124,51.699566,20.061537,-2.5009546,-0.48622277,-2.7817774,-18.269464,38.301437,52.600945,-11.667784,4.680456,-2.6485393
2,0.154413640499115,2.12178635597229,78.57527923583984,-0.5220893028787226,-1.3827530391929306,-93.2344983159193,2.6325002,8.162495,19.793129,7.7746124,-8.533955,-6.0318937,0.26092803,-5.1348834,-8.623984,8.758188,-6.9447646,4.7321324,-2.8574479,0.09708993,8.426276,-1.1353605,20.636906,-35.379814,51.690334,20.037176,-2.5183609,-0.51004916,-2.8341272,-18.282692,38.261368,52.564217,-11.687409,4.670524,-2.6815715
3,0.16272829473018646,2.172039747238159,78.5758285522461,-0.5580206422058381,-1.3513194406680182,-93.28848069142701,2.4283273,8.266,19.813892,8.100356,-8.672549,-6.0676193,0.18554088,-5.0809727,-8.584174,8.725088,-6.849573,4.7261505,-2.8058581,0.12529418,8.522999,-1.1885355,20.684929,-35.334713,51.657158,20.016085,-2.5356312,-0.5342745,-2.8998024,-18.30059,38.221058,52.522408,-11.69451,4.658454,-2.715604
4,0.17289574444293976,2.231416702270508,78.57814025878906,-0.6114279413474845,-1.2777480568610002,-93.38872491595424,2.1294117,8.413548,19.860294,8.527737,-8.848533,-6.116807,0.0413439,-4.996643,-8.501016,8.672518,-6.686753,4.7181125,-2.720311,0.17746346,8.608243,-1.26949,20.717228,-35.265488,51.63698,20.012152,-2.5511947,-0.5496613,-3.0136034,-18.312347,38.192543,52.508236,-11.667421,4.6430492,-2.7578118
5,0.18405811488628387,2.3050971031188965,78.58049011230469,-0.6825602495985299,-1.1359203112352951,-93.53900203787818,1.6933376,8.610008,19.936558,9.08406,-9.077487,-6.174445,-0.20229799,-4.8809347,-8.369923,8.596254,-6.4427295,4.706913,-2.6074827,0.25113383,8.67336,-1.362111,20.766449,-35.162064,51.592705,20.043823,-2.5662878,-0.5526776,-3.1802995,-18.331059,38.183475,52.505054,-11.583787,4.6187935,-2.8124204
6,0.20128297805786133,2.3867814540863037,78.57759094238281,-0.7494182273333639,-0.9444477726738976,-93.72915372188113,1.1654235,8.820774,20.041042,9.719403,-9.3404,-6.237451,-0.6653533,-4.783722,-8.184807,8.814002,-6.3029065,4.6970224,-2.4728706,0.32162815,8.722557,-1.4560883,20.835653,-35.032715,51.521145,20.097818,-2.5808651,-0.5478825,-3.3828347,-18.358099,38.19344,52.503326,-11.455993,4.588853,-2.8761182
7,0.2248174548149109,2.4868221282958984,78.5655288696289,-0.7956331644052677,-0.7481436931189718,-93.96317615850205,0.59028995,9.031075,20.171152,10.450824,-9.637862,-6.3185143,-1.429675,-4.741239,-7.929499,9.610554,-6.430165,4.693502,-2.3076043,0.3729389,8.788009,-1.5484437,20.900517,-34.857277,51.427753,20.148718,-2.592578,-0.5517703,-3.6178854,-18.38609,38.20672,52.508183,-11.330265,4.5637484,-2.9351041
8,0.2502517104148865,2.6087493896484375,78.5500259399414,-0.8396838170279903,-0.5955956764885998,-94.23933032842122,0.015560187,9.265319,20.312931,11.294619,-9.970972,-6.4344645,-2.1978989,-4.694687,-7.632822,10.471069,-6.5648956,4.6952066,-2.1296341,0.42270094,8.919788,-1.5947396,20.972586,-34.582638,51.25752,20.172382,-2.5996685,-0.5873707,-3.8896983,-18.422415,38.231487,52.50517,-11.243722,4.554834,-2.9749603
9,0.27883899211883545,2.740638494491577,78.53076171875,-0.8741193340734401,-0.4900473599990357,-94.56990232467427,-0.55661315,9.522747,20.503454,12.264843,-10.349504,-6.5844603,-2.9980788,-4.650569,-7.282456,11.451998,-6.728764,4.7041335,-1.923318,0.4648561,9.122431,-1.6016926,21.041767,-34.18753,51.028816,20.204378,-2.592559,-0.6637013,-4.2013316,-18.465216,38.269123,52.511627,-11.1992235,4.563397,-3.0035155
10,0.3183515965938568,2.8845083713531494,78.50308227539062,-0.9035947639950745,-0.4106034436801316,-94.94964357810389,-1.1493572,9.806646,20.732412,13.357345,-10.773793,-6.761581,-3.8507745,-4.6030726,-6.883341,12.549467,-6.915988,4.720536,-1.6939558,0.5058916,9.376261,-1.5801482,21.108946,-33.693024,50.749737,20.245354,-2.5753691,-0.7686624,-4.5521784,-18.514843,38.32392,52.52544,-11.176384,4.5842323,-3.0242996
