Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.11287987232208252,1.6674695014953613,77.8302001953125,-0.5931822693717362,-3.464975875171175,-88.08478489693518,8.980796,9.194895,13.962628,7.7834435,-12.824001,-8.390513,7.759535,-6.97581,-8.397774,7.187393,-10.643209,9.614274,-5.3760066,0.3023417,8.050899,-0.038479105,11.225278,-34.37952,61.04307,4.708843,2.1896558,0.46929288,-0.07711578,-14.893369,38.254765,59.035732,-15.308699,-5.325776,-3.7849874
1,-0.11522064357995987,1.6600791215896606,77.8315200805664,-0.5810685367194816,-3.4342526873346055,-88.00330958053092,8.944045,9.159172,13.877572,7.7379527,-12.809896,-8.410674,7.7708893,-7.0062027,-8.49976,7.15333,-10.653821,9.650906,-5.4416027,0.2796182,8.070963,-0.056347482,11.224572,-34.38643,61.012997,4.711528,2.2032773,0.4804254,-0.04273678,-14.911756,38.167194,58.987682,-15.284617,-5.33827,-3.7758992
2,-0.11321651935577393,1.655280590057373,77.83233642578125,-0.5684257824637492,-3.4030602281652755,-87.92652426828126,8.909139,9.123918,13.796521,7.6916585,-12.795798,-8.432113,7.779348,-7.0365205,-8.59743,7.1226163,-10.665655,9.685171,-5.491794,0.25559512,8.0886345,-0.083768636,11.222647,-34.409576,60.994133,4.711323,2.2176497,0.49193665,9.726443e-05,-14.927031,38.063885,58.939426,-15.274016,-5.351783,-3.7672858
3,-0.10689620673656464,1.653085470199585,77.83402252197266,-0.5563705312419109,-3.3731546894133912,-87.84054056064818,8.869973,9.088284,13.70756,7.650811,-12.784101,-8.450785,7.793623,-7.0680704,-8.703355,7.0872636,-10.676555,9.723411,-5.5408406,0.23226523,8.111177,-0.11573102,11.219206,-34.43398,60.97254,4.7112617,2.23061,0.5039248,0.04408757,-14.940056,37.947987,58.88527,-15.252708,-5.3643126,-3.756241
4,-0.10091323405504227,1.6517308950424194,77.83564758300781,-0.5446280947733951,-3.346399831884998,-87.731487016279,8.825223,9.050201,13.599743,7.612666,-12.773262,-8.462681,7.8197083,-7.10312,-8.829245,7.0447474,-10.686761,9.771834,-5.5908294,0.20878205,8.1473055,-0.15862663,11.212855,-34.453796,60.944736,4.715002,2.2391973,0.5156072,0.095853515,-14.953937,37.802624,58.806423,-15.206649,-5.3728933,-3.7389362
5,-0.09623803198337555,1.6509692668914795,77.83783721923828,-0.5298539784049819,-3.3189133926852747,-87.59778512629285,8.768468,9.0058,13.472996,7.58011,-12.764229,-8.461902,7.856235,-7.1459484,-8.975324,6.9899535,-10.694827,9.837802,-5.6490493,0.18356119,8.193888,-0.21062417,11.203247,-34.46703,60.909615,4.715502,2.2403812,0.5289705,0.15208115,-14.968921,37.639557,58.705418,-15.140589,-5.3728786,-3.7206712
6,-0.08793347328901291,1.6526278257369995,77.8381118774414,-0.5111661909017823,-3.291217802669666,-87.44636499706395,8.703526,8.954849,13.332789,7.5523114,-12.757452,-8.452536,7.890906,-7.198395,-9.134727,6.9465423,-10.711778,9.916362,-5.7028403,0.15719315,8.24929,-0.27697924,11.187041,-34.485085,60.87466,4.7139015,2.2363455,0.5440027,0.22022925,-14.990449,37.44786,58.57992,-15.063901,-5.367386,-3.6996071
7,-0.074384905397892,1.6592131853103638,77.84085083007812,-0.4932693992653608,-3.271054890325937,-87.27635312276242,8.640852,8.902191,13.175777,7.5236025,-12.749545,-8.445599,7.9195657,-7.255242,-9.309359,6.9436903,-10.751946,9.994638,-5.7620234,0.1326289,8.320587,-0.34696382,11.165133,-34.488018,60.829052,4.7259297,2.2320807,0.55663615,0.29124746,-15.016657,37.23628,58.42984,-14.946469,-5.3639407,-3.6656325
8,-0.06341619044542313,1.6662966012954712,77.84246826171875,-0.4855557275473558,-3.2664495777290483,-87.08665490074677,8.586469,8.853752,12.997903,7.4975624,-12.742055,-8.451848,7.9706407,-7.3068924,-9.505509,6.941449,-10.793106,10.060087,-5.816044,0.11486842,8.417327,-0.42729422,11.132342,-34.4767,60.77438,4.76504,2.2324476,0.5634985,0.37351936,-15.053858,36.981472,58.239147,-14.768841,-5.371186,-3.605238
9,-0.04833349213004112,1.6743000745773315,77.84120178222656,-0.49481499458560285,-3.2787923359014144,-86.87394017191852,8.536382,8.820507,12.795084,7.484263,-12.738077,-8.476645,8.04714,-7.343669,-9.729083,6.9386377,-10.835769,10.108339,-5.8892255,0.10541985,8.543087,-0.4984528,11.102495,-34.42324,60.691814,4.83213,2.2440193,0.5484351,0.44313824,-15.084897,36.70681,58.03111,-14.52192,-5.3893533,-3.5061858
